0_ID	Name	Address	Phone Number	Website	Monday Hours	Tuesday Hours	Wednesday Hours	Thursday Hours	Friday Hours	Saturday Hours	Sunday Hours
ChIJ060GqNQAzkwRJ5dIjgDAP4g	Milestones	1080 Baxter Rd, Ottawa, ON K2C 4B1, Canada	(613) 721-1373	http://www.milestonesrestaurants.com/	11:00 - 21:00	15:00 - 21:30	15:00 - 21:30	12:00 - 21:30	12:00 - 21:30	12:00 - 22:30	11:00 - 22:30
ChIJ0QSdnCD-zUwRxu1bnXZsoHM	iCook Pho You	2006 Robertson Rd, Nepean, ON K2H 1A5, Canada	(613) 596-0760	http://icookphoyou.com/?p=home	16:00 - 20:30	11:00 - 15:00	11:00 - 20:30	11:00 - 20:30	11:00 - 20:30	11:00 - 20:30	12:00 - 20:30
ChIJ0V_c237kzUwRCF01H3q6lnU	Hard Stones Grill	1 Roydon Pl, Nepean, ON K2E 1A3, Canada	(613) 518-7440	http://hardstonesgrill.ca/	08:00 - 22:00	08:00 - 22:00	08:00 - 22:00	08:00 - 22:00	08:00 - 22:00	08:00 - 00:00	08:00 - 00:00
ChIJ0_QG2MT_zUwRdb5W0Zu_YCo	MyBistro	430 Hazeldean Rd Unit 6, Kanata, ON K2L 1T9, Canada	(343) 690-0712	https://www.mybistro.ca/	n/a	n/a	n/a	n/a	n/a	n/a	n/a
ChIJ0byeJ1EB0kwRJqta-ZyO-UY	Brew Revolution	6081 Hazeldean Rd, Stittsville, ON K2S 1B9, Canada	(613) 877-2121	https://brewrevolution.ca/	12:00 - 21:00	12:00 - 21:00	12:00 - 21:00	12:00 - 22:00	12:00 - 22:00	12:00 - 00:00	12:00 - 00:00
ChIJ0fHG8CUBzkwRj1hYovz4D_8	Thai Express Restaurant Ottawa	Britannia Plaza, 1465 Richmond Rd, Ottawa, ON K2B 6R9, Canada	(613) 596-5535	https://thaiexpress.ca/locations/?utm_source=G&utm_medium=LPM&utm_campaign=MTY	14:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	14:00 - 21:00	n/a
ChIJ18PD-yX-zUwRsc74mYHWP7c	Gabriel Pizza	2150 Robertson Rd, Nepean, ON K2H 9S1, Canada	(613) 319-7777	https://gabrielpizza.com/	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 23:00	11:00 - 23:00
ChIJ1_7V-g4B0kwRxMj7SOmXIIA	Burrito Gringo Kanata	5045 Innovation Dr Unit 300, Kanata, ON K2K 0L5, Canada	(613) 254-7070	http://burritogringo.ca/	11:00 - 20:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00
ChIJ1aBtu8MAzkwR0PBfzSkZf7Y	barBURRITO	100 Bayshore Dr, Nepean, ON K2B 8S8, Canada	(613) 828-8868	http://barburrito.ca/	11:00 - 17:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00
ChIJ1aDsiwoBzkwRrNjbZOM_VrA	bon burrito	181 Rue Principale, Gatineau, QC J9H 6J9, Canada	(819) 684-5775	n/a	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 19:00	11:00 - 19:00	n/a
ChIJ1ak-soj_0UwRccJv8u0mD1M	LAW & ORDERS KANATA NORTH	4055 Carling Ave, Kanata, ON K2K 2A4, Canada	(888) 343-4262	http://lawandorders.ca/	16:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 21:00	16:00 - 20:00
ChIJ1dETND76zUwR8LsW949H2J8	Cousin Vinny's Pizza	6179 Perth St, Richmond, ON K0A 2Z0, Canada	(613) 838-5112	https://cousinvinnyspizzeria.com/	16:00 - 21:00	16:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00
ChIJ1dETND76zUwRHN28BBpVXMs	Chinhon Restaurant	6179 Perth, Richmond, ON K0A 2Z0, Canada	(613) 838-5555	http://www.chinhon.com/	15:00 - 21:30	15:00 - 21:00	15:00 - 21:00	11:30 - 21:00	11:30 - 22:00	14:00 - 22:30	15:00 - 22:00
ChIJ2T6bOqgA0kwR7Y2MBf84suk	Tim Hortons	1259 Stittsville Main St, Stittsville, ON K2S 2E4, Canada	(613) 836-6642	https://locations.timhortons.ca/on/stittsville/1259-stittsville-main-st	00:00 - 	n/a	n/a	n/a	n/a	n/a	n/a
ChIJ2XhlWIUFzkwRMk4KGPXfzS8	Cadena Restaurant & Tapas Bar	385 Richmond Rd, Ottawa, ON K2A 0E7, Canada	(613) 695-7772	http://www.cadenarestaurant.com/	12:00 - 22:30	12:00 - 22:30	12:00 - 22:30	12:00 - 22:30	12:00 - 22:30	12:00 - 22:30	12:00 - 22:30
ChIJ2bsDNPIBzkwRqmSXIXB8-0I	Bistro Mexicana 129	129 Rue Principale, Gatineau, QC J9H 3M5, Canada	(819) 684-8181	https://www.bistromexicana129.com/copy-of-order-online	12:00 - 22:00	16:00 - 22:00	12:00 - 22:00	12:00 - 22:00	12:00 - 22:00	12:00 - 22:00	n/a
ChIJ36WgKeT8zUwR5AyWbQDi8QE	Winner House Chinese Food	1 Tartan Dr Unit 7, Nepean, ON K2J 2W7, Canada	(613) 825-6565	http://winnerhousechinese.com/	15:30 - 23:00	15:30 - 23:00	15:30 - 23:00	15:30 - 23:00	15:30 - 23:00	15:30 - 23:00	15:30 - 23:00
ChIJ36WgKeT8zUwRXPM3pH0Ya5k	Mr. Mozzarella (Barrhaven)	1 Tartan Dr, Nepean, ON K2J 2W7, Canada	n/a	https://mrmozzarella.com/barrhaven/	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 23:45	11:00 - 01:15	11:00 - 01:15
ChIJ398JN_r_0UwRmAWOL8aDWRk	Heart & Soul Kitchen	101 Schneider Rd, Ottawa, ON K2K 1Y3, Canada	n/a	https://heartsoulkitchen.ca/	12:30 - 20:00	12:30 - 20:00	12:30 - 20:00	12:30 - 20:00	12:30 - 20:00	12:30 - 20:00	12:30 - 20:00
ChIJ3RUyh3YA0kwRM0wEEJj39aw	Aperitivo	655 Av. Kanata Unit L2, Kanata, ON K2T 1H6, Canada	(613) 592-0004	http://aperitivo.ca/	16:00 - 21:00	16:00 - 22:00	16:00 - 22:00	16:00 - 22:00	12:00 - 23:00	12:00 - 23:00	n/a
ChIJ3TXYCnUBzkwRs92UL9KYnrw	PHO Aylmer	200 Rue Principale, Gatineau, QC J9H 6J4, Canada	(819) 684-8885	n/a	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00
ChIJ3aIm2_L_zUwREsWZvWEXwtI	Tommy's Dining Lounge	260 Hearst Way, Kanata, ON K2L 4G6, Canada	(613) 592-0442	http://tommyskanata.com/	12:00 - 20:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	12:00 - 21:00
ChIJ3deI6Sf-zUwRhxY1Z8Sgrmg	The Brew Table	308 Moodie Dr, Nepean, ON K2H 8G3, Canada	(613) 596-4226	http://thebrewtable.com/	11:00 - 21:00	11:00 - 21:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 23:00	11:00 - 23:00
ChIJ3fbK77L9zUwR4Zuk7K5QhIM	East Side Mario's	4235 Strandherd Dr Unit 11, Ottawa, ON K2J 6E5, Canada	(613) 903-6667	https://www.eastsidemarios.com/locations/barrhaven/ontario/barrhaven/	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 22:00	11:00 - 22:00
ChIJ3wYBLc7x0UwRFuNLHGBEZHw	Point Dining Lounge	346 Bayview Dr, Woodlawn, ON K0A 3M0, Canada	(613) 832-3013	http://www.thepointlounge.ca/	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 00:00	11:00 - 00:00	11:00 - 00:00	11:00 - 00:00
ChIJ3zSY_N0AzkwR6AckkfEBbO0	Little India Cafe	66 Wylie Ave, Ottawa, ON K2B 6M4, Canada	(613) 828-2696	http://www.littleindiacafe.com/	16:30 - 20:00	11:30 - 13:30	16:30 - 20:00	11:30 - 13:30	16:30 - 20:00	11:30 - 13:30	16:30 - 20:00
ChIJ4xClX9n_zUwRdHc5FFFkYSQ	Eki Sushi	471 Hazeldean Rd Unit 7A, Kanata, ON K2L 4B8, Canada	(613) 831-8838	http://www.sushieki.ca/	11:30 - 21:00	11:30 - 21:00	11:30 - 21:00	11:30 - 21:00	11:30 - 21:00	11:30 - 21:00	11:30 - 21:00
ChIJ50HCUZABzkwRLwF9hyqWTvc	Woilàlà	11 Rue Front, Gatineau, QC J9H 4W8, Canada	(873) 660-7888	n/a	16:30 - 20:00	16:30 - 20:00	16:30 - 20:00	16:30 - 21:00	16:30 - 21:00	n/a	n/a
ChIJ53G__HX_zUwRVSb0f5hC_Bs	Little Caesars Pizza	500 Hazeldean Rd, Kanata, ON K2L 2B5, Canada	(613) 831-3131	https://littlecaesars.ca/	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00
ChIJ53LcfIP_zUwRwCpNutjjGWE	Desi tadka food and Tiffin	2006 Robertson Rd Unit 10, Ottawa, ON K2H 1A5, Canada	(613) 421-0331	http://www.desitadkafood.ca/	08:00 - 12:00	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	10:00 - 20:00	n/a
ChIJ53yn6IUa0kwRRkWbKwNIvGQ	Café Postino	73 Mill St, Almonte, ON K0A 1A0, Canada	(613) 256-6098	http://www.cafe-postino.com/	12:00 - 20:00	12:00 - 21:00	12:00 - 21:00	12:00 - 21:00	12:00 - 21:00	n/a	n/a
ChIJ54TcNJ__zUwRviAReGQemcA	Egg Roll Plus	471 Hazeldean Rd, Kanata, ON K2L 4B8, Canada	(613) 831-8888	http://www.eggrollplus.ca/	16:00 - 21:00	11:30 - 21:00	11:30 - 21:00	11:30 - 21:00	11:30 - 21:00	11:30 - 22:00	11:30 - 22:00
ChIJ55_Qsp__0UwRxFF-AyduMGw	Flavours of Kerala	1104 Klondike Rd Unit B, Kanata, ON K2K 1X7, Canada	(613) 435-8435	http://flavoursofkerala.com/	12:00 - 19:30	12:00 - 19:30	12:00 - 19:30	12:00 - 19:30	12:00 - 19:30	16:30 - 19:30	n/a
ChIJ587M-a0A0kwR_RdZjZim0Y4	A&W Canada	6305 Hazeldean Rd, Stittsville, ON K2S 0T2, Canada	(613) 836-6611	http://aw.ca/	08:00 - 21:00	08:00 - 21:00	08:00 - 21:00	08:00 - 21:00	08:00 - 21:00	08:00 - 21:00	08:00 - 21:00
ChIJ5_y6qAD_zUwRT-ExEUKcSN4	Shawarma Master	38-500 Eagleson Rd, Kanata, ON K2M 1H4, Canada	(613) 800-1440	https://shawarmamaster.ca/	01:00 - 21:00	10:30 - 22:00	10:30 - 22:00	10:30 - 22:00	10:00 - 22:00	11:00 - 22:00	11:00 - 22:00
ChIJ5yHNzDYBzkwRVD36ffaDk6A	Andiamo Pizzeria	102 McEwen Ave, Ottawa, ON K2B 5K7, Canada	(613) 726-0726	https://www.andiamopizzeria.ca/	11:00 - 00:00	11:00 - 00:00	11:00 - 00:00	11:00 - 00:00	11:00 - 00:00	11:00 - 01:00	11:00 - 01:00
ChIJ60rHwwH_zUwRws8WZiec-OI	Wild Wing Kanata	700 Eagleson Rd, Kanata, ON K2M 2G9, Canada	(613) 270-9453	https://www.wildwingrestaurants.com/order-now/?location=Ottawa%20Kanata	12:00 - 23:00	12:00 - 23:00	12:00 - 23:00	12:00 - 23:00	12:00 - 23:00	12:00 - 23:00	n/a
ChIJ63UKxmwA0kwRj6NBvhU9WL0	Gabriel Pizza	2 Goldridge Dr, Ottawa, ON K2T 1A1, Canada	(613) 319-7777	http://www.gabrielpizza.com/	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 00:00	11:00 - 00:00	11:00 - 01:00	11:00 - 23:00
ChIJ67KIMXIA0kwR8Mv2Ws2SoBs	Digby's Restaurant - Kanata	300 Earl Grey Dr, Kanata, ON K2T 1B6, Canada	(613) 599-9800	http://www.digbysrestaurant.com/	12:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	n/a
ChIJ67KIMXIA0kwRD-1oVjq9Vmc	Pizza Pizza	300 Earl Grey Dr Unit 6A, Kanata, ON K2T 1B8, Canada	(613) 737-1111	https://www.pizzapizza.ca/?utm_source=google&utm_medium=local&utm_campaign=google-local	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 00:00	11:00 - 01:00	11:00 - 01:00
ChIJ67KIMXIA0kwRfsGfojKbLQQ	Subway	300 Earl Grey Dr, Kanata, ON K2T 1B9, Canada	(613) 599-9522	https://restaurants.subway.com/canada/on/kanata/300-earl-grey-dr?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=13794&utm_campaign=evergreen-2020&y_source=1_MTQ5MjA1NzgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	08:00 - 23:00	07:00 - 23:00	07:00 - 23:00	07:00 - 23:00	07:00 - 23:00	07:00 - 23:00	07:00 - 23:00
ChIJ68h4NXEA0kwRxRvTpJkV1HE	Moxies Kanata Restaurant	601 Earl Grey Dr, Kanata, ON K2T 1K4, Canada	(613) 599-5000	https://moxies.com/restaurants/kanata?utm_source=GMB&utm_medium=google-location-listing&utm_campaign=organic	12:00 - 23:00	11:30 - 23:00	11:30 - 23:00	11:30 - 00:00	11:30 - 00:00	11:30 - 01:00	12:00 - 01:00
ChIJ69kSD7MBzkwRcD0tYsCFbVE	Gourmets Subs	548 Chem. d'Aylmer, Gatineau, QC J9H 1B1, Canada	(819) 557-1551	http://www.gokitchens.ca/	12:00 - 21:30	16:00 - 21:30	16:00 - 21:30	16:00 - 21:30	16:00 - 21:30	16:00 - 21:30	12:00 - 21:30
ChIJ6VDVQJ__zUwRIutBiHngi70	Hanahana	474 Hazeldean Rd, Kanata, ON K2L 4E5, Canada	(613) 831-0525	http://hanahana.ca/	15:30 - 19:30	10:30 - 19:30	10:30 - 19:30	10:30 - 19:30	10:30 - 20:00	10:30 - 19:30	n/a
ChIJ6fhdZAIEzkwRZ3wnN3UtvwI	The Savoy Brasserie	334 Richmond Rd, Ottawa, ON K1Z 5C7, Canada	(613) 686-1903	http://www.savoybrasserie.com/	08:00 - 22:00	08:00 - 22:00	08:00 - 22:00	08:00 - 22:00	08:00 - 22:00	08:00 - 23:00	08:00 - 23:00
ChIJ6yQAFYsEzkwR-4qo6QSghV4	Chez Barbe	122 Rue Eddy, Gatineau, QC J8X 2W5, Canada	(819) 777-7384	https://www.facebook.com/Restaurant-Chez-Barbe-154689737918135/	07:00 - 14:00	07:00 - 14:00	07:00 - 14:00	07:00 - 14:00	07:00 - 14:00	n/a	n/a
ChIJ6yUB2QH_zUwRusnWBDnHxR0	Big Bone BBQ & Wicked Wings - Kanata	701 Eagleson Rd, Kanata, ON K2M 2G1, Canada	(613) 435-5453	http://www.bigbonebbq.ca/ottawa/	09:00 - 21:00	08:00 - 21:00	08:00 - 21:00	08:00 - 21:00	08:00 - 21:00	08:00 - 21:00	08:00 - 21:00
ChIJ72sXBmP9zUwR9KGJKst9YtU	Moyo Grill	2-3500 Fallowfield Rd, Nepean, ON K2J 4A7, Canada	(613) 823-8121	https://www.moyogrill.com/	15:00 - 20:00	15:00 - 21:00	15:00 - 21:00	15:00 - 21:00	15:00 - 21:00	14:00 - 22:00	15:00 - 22:00
ChIJ79C_t_YBzkwR82JUR4eLTAY	Shawarma Shish	1831 Robertson Rd, Nepean, ON K2H 8S2, Canada	(613) 721-0007	n/a	11:00 - 20:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00
ChIJ7RIcElr8zUwR6XDfyqpBOIQ	Montana's	4245 Strandherd Dr Unit 2, Ottawa, ON K2J 6E5, Canada	(613) 714-1155	https://www.montanas.ca/	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 23:00	11:00 - 23:00
ChIJ7ScehKoJ0kwR3MDpjyPpA4c	Ashton Brewing Company	113 Old Mill Rd, Ashton, ON K0A 1B0, Canada	(613) 257-4423	http://www.ashtonbrewingcompany.com/	11:30 - 23:00	11:30 - 23:00	11:30 - 23:00	11:30 - 23:00	11:30 - 23:00	11:30 - 23:00	11:30 - 23:00
ChIJ7U7KJd8AzkwRCvItvOFl6jg	Salang Kabob House	2934 Carling Ave, Ottawa, ON K2B 7J7, Canada	(613) 820-0007	http://salangkabobhouse.ca/	12:00 - 20:00	12:00 - 21:00	12:00 - 21:00	12:00 - 21:00	12:00 - 21:00	12:00 - 21:00	n/a
ChIJ7U7PQoYBzkwRQGQwG_7DlC4	G&V Sushi	375 Chem. d'Aylmer, Gatineau, QC J9H 1A5, Canada	(819) 682-8998	http://www.gandvsushi.com/	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00
ChIJ7ZoHHtz8zUwRcBqL_rV9J7Q	dakgogi	80 Marketplace Ave J6, Nepean, ON K2J 5G3, Canada	(613) 823-8233	https://dakgogiottawa.ca/	12:00 - 21:30	11:30 - 21:00	11:30 - 21:00	11:30 - 21:00	11:30 - 21:00	11:30 - 22:00	12:00 - 22:00
ChIJ7xg4izMCzkwRDRPq4xbCwBw	Suprême Pizzeria	380 Chem. Vanier, Gatineau, QC J9J 3H8, Canada	(819) 682-4749	https://pizzeriasupreme.ca/	11:00 - 22:30	11:00 - 22:30	11:00 - 22:30	11:00 - 22:30	11:00 - 22:30	11:00 - 22:30	11:00 - 22:30
ChIJ7zPaBib-zUwR-YiH6iJDmOU	Athens Grill	2150 Robertson Rd, Nepean, ON K2H 9S1, Canada	(613) 288-0134	https://www.athens-grill.com/	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	n/a
ChIJ7zPaBib-zUwRVwVmXfH_KO8	Mongolian Village West - Authentic Asian & Mexican Food in Ottawa	2150 Robertson Rd, Nepean, ON K2H 9S1, Canada	(613) 596-4366	http://www.mongolianvillagewest.ca/	12:00 - 21:00	12:00 - 21:00	12:00 - 21:00	12:00 - 21:00	12:00 - 21:00	12:00 - 22:00	12:00 - 22:00
ChIJ83Le-KsBzkwRVmGSvhuGVCs	Restaurant Bar Le Bateau Marina D'aylmer	1 Rue Principale, Gatineau, QC J9H 3M5, Canada	(819) 682-0975	https://lebateau.restaurant/	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 01:00	11:00 - 02:00	n/a
ChIJ856a03gB0kwRcZu_YYwTQP4	LaPoutine / Louie's Pizza	Within Louie’s Pizza, 1 Hobin St, Stittsville, ON K2S 1C3, Canada	(613) 836-5151	http://lapoutine.business.site/	11:00 - 23:00	10:00 - 23:00	10:00 - 23:00	10:00 - 23:00	10:00 - 01:00	10:00 - 01:00	10:00 - 01:00
ChIJ89d_IvIB0kwR4pyScEk5y4c	Chungchun Rice Dog Kanata	300 Earl Grey Dr Unit A10B, Kanata, ON K2T 1C1, Canada	(613) 435-8883	http://www.chungchunricedog.ca/	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00
ChIJ8QVy-94AzkwRCjqGOV1zxPo	Ottawa Shawarma Palace	2961 Carling Ave, Ottawa, ON K2B 7J9, Canada	(613) 726-9533	n/a	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00
ChIJ8RhgXdQAzkwRChroOzoEA-c	Queensview Café	located at back of building, 2650 Queensview Dr Unit 170, Ottawa, ON K2B 8H6, Canada	(873) 354-4210	n/a	07:00 - 15:00	07:00 - 15:00	07:00 - 15:00	07:00 - 15:00	07:00 - 15:00	n/a	n/a
ChIJ8Y_YHtMHzkwRXSmX85uqgIo	Nureh’s Kitchen	2077 Baseline Rd, Ottawa, ON K2C 0C8, Canada	n/a	n/a	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00
ChIJ8_EYZFz_zUwRUEmeDYafwT4	L8 Nite Bites	444 Hazeldean Rd, Kanata, ON K2L 1V2, Canada	(613) 807-0997	http://l8nitebites.com/	21:30 - 02:30	22:30 - 03:30	22:30 - 03:30	22:30 - 03:30	22:30 - 03:30	n/a	n/a
ChIJ8_GtFXAA0kwRx4V0gc8L59w	Domino's Pizza	8221 Campeau Dr, Kanata, ON K2T 0A2, Canada	(613) 595-1234	http://pizza.dominos.ca/Kanata-ON-10504/	10:30 - 23:00	10:30 - 23:00	10:30 - 23:00	10:30 - 23:00	10:30 - 23:00	10:30 - 23:00	10:30 - 23:00
ChIJ8eD7fKL_zUwRiGKPJ9cmcek	Phở Moonlight	442 Hazeldean Rd, Kanata, ON K2L 1V2, Canada	(613) 836-6658	http://www.phomoonlight.com/	11:00 - 20:30	11:00 - 20:30	11:00 - 20:30	11:00 - 20:30	11:00 - 20:30	11:00 - 20:30	11:00 - 20:30
ChIJ8f-RtWz9zUwR2rTbCyPZvVo	Paramount Fine Foods	51 Marketplace Ave, Barrhaven, ON K2J 5G4, Canada	(343) 547-9999	http://www.paramountfinefoods.com/	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 22:00	11:00 - 22:00
ChIJ9-JPW70B0kwRJE-VHugUJY0	Maritime Food Truck	2590 Carp Rd, Carp, ON K0A 1L0, Canada	n/a	http://maritimefoodtruck.ca/	n/a	n/a	n/a	n/a	n/a	n/a	n/a
ChIJ9-WtY8MAzkwRyY2p7Eaukd0	Tim Hortons	100 Bayshore Dr, Nepean, ON K2B 8C1, Canada	(613) 828-9000	https://locations.timhortons.ca/on/nepean/100-bayshore-dr	09:00 - 20:00	08:00 - 20:00	08:00 - 20:00	08:00 - 20:00	08:00 - 20:00	08:00 - 20:00	08:00 - 20:00
ChIJ911EakgfVUAROW19nNJzvxU	Kelseys Original Roadhouse	75 Marketplace Ave Unit 6, Nepean, ON K2J 5G4, Canada	(613) 843-0662	https://www.kelseys.ca/	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00
ChIJ95IZF5UHzkwRyRnsNpwftBU	Miss Molly's Diner	1577 Laperriere Ave, Ottawa, ON K1Z 7T2, Canada	(613) 366-5548	https://www.missmollysdiner.ca/	07:00 - 14:00	06:00 - 20:00	06:00 - 20:00	06:00 - 20:00	06:00 - 20:00	06:00 - 20:00	07:00 - 14:00
ChIJ9aqhYjgP0kwR6hdRfRtNT34	Eataria Unlimited	73 Bridge St, Carleton Place, ON K7C 2V4, Canada	(613) 257-7595	http://eatariaunlimited.com/	07:30 - 20:00	07:30 - 21:00	07:30 - 21:00	07:30 - 21:00	07:30 - 21:00	07:30 - 21:00	n/a
