Bytown Burger Restaurant	350 Slater St., Ottawa, ON K1A 1E1, Canada	(613) 233-0434	n/a	00:00 - 	n/a	n/a	n/a	n/a	n/a	n/a
Capitol Burger	173 Queen St, Ottawa, ON K1P, 173 Queen St, Ottawa, ON K1A 0S6, Canada	(343) 551-9506	https://queenstfare.ca/vendors/capitol-burger-counter	10:30 - 21:00	10:30 - 21:00	10:30 - 21:00	10:30 - 21:00	10:30 - 22:00	10:00 - 22:00	n/a
Chez Lucien	137 Murray St, Ottawa, ON K1N 5M7, Canada	(613) 241-3533	https://www.instagram.com/chezlucienottawa/	11:00 - 02:00	11:00 - 02:00	11:00 - 02:00	11:00 - 02:00	11:00 - 02:00	11:00 - 02:00	11:00 - 02:00
Courtyard Restaurant	21 George St, Ottawa, ON K1N 8W5, Canada	(613) 241-1516	http://www.courtyardrestaurant.com/	11:00 - 14:00	17:00 - 21:00	17:00 - 21:00	17:00 - 21:00	17:00 - 21:00	17:00 - 21:00	11:00 - 14:00
Crêperie Rim	89 Sparks St., Ottawa, ON K1P 5A5, Canada	n/a	n/a	10:00 - 19:00	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00
DOSA & CURRIES	114 Gloucester St, Ottawa, ON K1P 5Z9, Canada	(613) 231-6550	n/a	11:00 - 23:00	11:00 - 23:00	17:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00
Edoko Japanese Steak House	64 Queen St, Ottawa, ON K1P 5B4, Canada	(613) 236-8885	http://edokosteakhouse.com/	17:00 - 21:30	17:00 - 21:30	17:00 - 21:30	17:00 - 21:30	17:00 - 21:30	17:00 - 21:30	n/a
Eggspectation	171 Bank St, Ottawa, ON K2P 1W5, Canada	(613) 569-6505	https://eggspectation.ca/locations/canada/ottawa/	07:00 - 15:00	07:00 - 14:00	07:00 - 17:00	07:00 - 14:00	07:00 - 14:00	07:00 - 14:00	07:00 - 15:00
Elgin Street Diner	374 Elgin St, Ottawa, ON K2P 1N1, Canada	(613) 237-9700	http://www.elginstreetdiner.com/	00:00 - 	n/a	n/a	n/a	n/a	n/a	n/a
Euro Bistro	360 Laurier Ave W, Ottawa, ON K1P 5K3, Canada	(613) 565-6518	http://www.eurobistro360.ca/	09:00 - 15:00	08:00 - 18:00	08:00 - 18:00	08:00 - 18:00	08:00 - 18:00	08:00 - 18:00	09:00 - 15:00
Freshii	98 Sparks St., Ottawa, ON K1P 5B6, Canada	(613) 695-8338	https://www.freshii.com/ca/en-ca/98sparks	11:00 - 15:00	11:00 - 15:00	11:00 - 15:00	11:00 - 15:00	11:00 - 15:00	n/a	n/a
German Doner Kebab	272 Elgin St, Ottawa, ON K2P 1M2, Canada	(613) 235-6688	https://www.germandonerkebab.com/?utm_source=GMBlisting&utm_medium=organic	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00
Green Rebel	99 Bank St G009, Ottawa, ON K1P 6B9, Canada	(613) 238-6026	http://www.greenrebel.ca/contact/	11:00 - 19:30	11:00 - 19:30	11:00 - 19:30	11:00 - 19:30	11:00 - 19:30	n/a	n/a
Grill 41	100 Elgin St, Ottawa, ON K1P 5K8, Canada	(613) 569-2126	http://www.grill41.ca/	06:00 - 23:00	06:00 - 23:00	06:00 - 23:00	06:00 - 23:00	06:00 - 23:00	06:00 - 23:00	06:00 - 23:00
Grounded Kitchen, Coffee & Bar	100 Gloucester St, Ottawa, ON K2P 0A4, Canada	(613) 567-1234	http://www.groundedkitchencoffee.com/	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 22:00	09:00 - 22:00	n/a	n/a
J'TM Resto Bar	101 Clarence St., Ottawa, ON K1N 5P9, Canada	(514) 814-2442	http://www.jtmrestobar.ca/	17:00 - 23:00	17:00 - 23:00	17:00 - 02:00	17:00 - 02:00	n/a	n/a	n/a
JOEY Rideau	50 Rideau St #106, Ottawa, ON K1N 9J7, Canada	(613) 680-5639	https://joeyrestaurants.com/location/joey-rideau	11:00 - 00:00	11:00 - 00:00	11:00 - 00:00	11:00 - 00:00	11:00 - 00:00	11:00 - 01:00	11:00 - 01:00
Johnny Farina	216 Elgin St, Ottawa, ON K2P 1L7, Canada	(613) 565-5155	http://www.johnnyfarina.com/	16:00 - 21:00	11:30 - 21:00	11:30 - 21:00	11:30 - 21:00	11:30 - 21:30	11:30 - 22:00	11:30 - 22:00
Kebob Kebob Restaurant	111 Albert St, Ottawa, ON K1P 1A5, Canada	(613) 563-2246	n/a	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	n/a	n/a
Kinki Lounge Kitchen	41 York St, Ottawa, ON K1N 5S7, Canada	(613) 789-7559	n/a	11:00 - 01:00	11:30 - 01:00	11:30 - 01:00	11:30 - 01:00	11:30 - 02:00	11:30 - 02:00	11:00 - 02:00
La Terrasse	1 Rideau St, Ottawa, ON K1N 8S7, Canada	(613) 241-1414	http://www.fairmont.com/laurier-ottawa/dining/la-terrasse/	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00
Le Monde	99 Bank St, Ottawa, ON K1P 6B9, Canada	(613) 236-6697	http://lemondeottawa.com/	06:30 - 15:00	06:30 - 15:00	06:30 - 15:00	06:30 - 15:00	06:30 - 15:00	n/a	n/a
Le Moulin de Provence KD METCALFE & QUEEN	30 Metcalfe St, Ottawa, ON K1P 5L4, Canada	(613) 695-2253	n/a	07:00 - 18:00	07:00 - 18:00	07:00 - 18:00	07:00 - 18:00	07:00 - 18:00	07:00 - 18:00	07:00 - 18:00
Mad Radish	116 Albert St Suite 100, Ottawa, ON K1P 5G3, Canada	(613) 421-6923	http://www.madradish.com/	11:00 - 16:00	11:00 - 16:00	11:00 - 16:00	11:00 - 16:00	11:00 - 16:00	n/a	n/a
Mercadito	170 Queen St, Ottawa, ON K1P 5E1, Canada	(613) 789-9115	http://www.mercadito.ca/	11:00 - 15:00	11:00 - 15:00	11:00 - 15:00	11:00 - 15:00	11:00 - 15:00	n/a	n/a
Metropolitain Brasserie Restaurant	700 Sussex Dr, Ottawa, ON K1N 1K4, Canada	(613) 562-1160	http://metropolitainbrasserie.com/	10:00 - 22:00	11:30 - 22:00	11:30 - 22:00	11:30 - 22:00	11:30 - 23:00	11:30 - 23:00	10:00 - 23:00
Milestones	700 Sussex Dr Unit 201, Ottawa, ON K1N 1K4, Canada	(613) 789-5432	https://www.milestonesrestaurants.com/en/locations/5228/ottawa-sussex-dr-unit-201.html	10:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 00:00	10:00 - 00:00
Name	Address	Phone Number	Website	Monday Hours	Tuesday Hours	Wednesday Hours	Thursday Hours	Friday Hours	Saturday Hours	Sunday Hours
Nando's PERi-PERi	90 Elgin St Unit 3, Ottawa, ON K1P 5E9, Canada	(613) 230-7474	https://www.nandos.ca/find/restaurants/ottawa-elgin-street?utm_source=web&utm_medium=mf&utm_campaign=local	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00
Nate's Deli	152 Sparks St., Ottawa, ON K1P 5B6, Canada	(613) 235-1424	http://nates.ca/	08:00 - 15:00	08:00 - 15:00	08:00 - 15:00	08:00 - 15:00	08:00 - 15:00	n/a	n/a
Oh My Grill	169 York St, Ottawa, ON K1N 5T4, Canada	(613) 562-4545	https://ohmygrill.ca/	13:00 - 23:00	12:00 - 22:00	12:00 - 22:00	12:00 - 22:00	12:00 - 23:00	12:00 - 00:00	13:00 - 23:00
Orient House Shawarma	150 Laurier Ave W #4, Ottawa, ON K1P 5J4, Canada	(613) 233-4999	http://www.orienthouseottawa.com/	11:00 - 18:00	11:00 - 18:00	11:00 - 18:00	11:00 - 18:00	11:00 - 18:00	n/a	n/a
Palermo Express	143 Sparks St., Ottawa, ON K1P 5A5, Canada	(613) 232-5500	n/a	09:30 - 14:30	09:30 - 14:30	09:30 - 14:30	09:30 - 14:30	09:30 - 14:30	n/a	n/a
Parle by Viet Fresh- Vietnamese Restaurant Ottawa- Best Pho in Ottawa	313 Dalhousie St, Ottawa, ON K1N 5T4, Canada	(613) 422-8099	https://www.vietfresh.ca/	11:00 - 23:00	16:00 - 23:00	16:00 - 00:00	16:00 - 00:00	11:00 - 00:00	11:00 - 00:00	11:00 - 00:00
Poulet Rouge Rideau Centre	50 Rideau St, Ottawa, ON K1N 9J7, Canada	(613) 562-4989	https://poulet-rouge.ca/	11:00 - 18:00	11:00 - 20:30	11:00 - 20:30	11:00 - 20:30	11:00 - 20:30	11:00 - 20:30	11:00 - 20:30
Restaurant e18hteen	18 York St, Ottawa, ON K1N 5T5, Canada	(613) 244-1188	http://www.restaurant18.com/	16:30 - 22:00	16:30 - 22:00	16:30 - 22:00	16:30 - 22:00	16:30 - 22:00	16:30 - 22:00	16:30 - 22:00
Riviera Ottawa	62 Sparks St., Ottawa, ON K1P 5A5, Canada	(613) 233-6262	http://www.dineriviera.com/	17:00 - 22:00	17:00 - 22:00	17:00 - 22:00	17:00 - 23:00	17:00 - 23:00	17:00 - 23:00	n/a
Sansotei Ramen	153 Bank St, Ottawa, ON K1P 5N7, Canada	(613) 695-1718	http://www.sansotei.com/	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	n/a
Sen Kitchen	170 Queen St, Ottawa, ON K1P 5E1, Canada	(613) 782-3885	https://queenstfare.ca/vendors/sen-kitchen	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Shawarma Express Restaurant	119 Slater St., Ottawa, ON K1P 5H2, Canada	(613) 232-0606	http://www.shawex.ca/	11:00 - 20:30	11:00 - 20:30	11:00 - 20:30	11:00 - 20:30	11:00 - 20:30	n/a	n/a
Social Restaurant + Lounge	537 Sussex Dr, Ottawa, ON K1N 6Z6, Canada	(613) 789-7355	http://www.social.ca/	11:00 - 00:00	11:45 - 00:00	11:45 - 00:00	11:45 - 00:00	11:45 - 00:00	11:45 - 00:00	11:00 - 00:00
Starling Restaurant and Bar	54 York St ground floor level, Ottawa, ON K1N 5T1, Canada	(613) 421-0820	https://www.starlingottawa.ca/	09:00 - 23:00	10:00 - 23:00	10:00 - 23:00	10:00 - 23:00	10:00 - 00:00	10:00 - 01:00	09:00 - 01:00
The Clarendon Tavern	11 George St, Ottawa, ON K1N 6Z6, Canada	(613) 422-5111	https://www.theclarendon.ca/	10:30 - 01:00	12:00 - 23:00	12:00 - 23:00	12:00 - 23:00	12:00 - 23:00	12:00 - 01:00	10:30 - 01:00
Tomo Restaurant	109 Clarence St., Ottawa, ON K1N 5P5, Canada	(613) 241-0990	http://tomorestaurant.ca/	17:00 - 23:00	17:00 - 23:00	17:00 - 23:00	17:00 - 23:00	17:00 - 02:00	17:00 - 02:00	n/a
Toro Taqueria	139 Bank St, Ottawa, ON K1P 5N7, Canada	(343) 997-7066	http://www.torotaqueria.com/	11:00 - 14:30	11:00 - 14:30	11:00 - 14:30	11:00 - 14:30	11:00 - 14:30	n/a	n/a
Tosca Ristorante	144 R. O'Connor St, Ottawa, ON K2P 2G7, Canada	(613) 565-3933	http://www.tosca-ristorante.ca/	16:00 - 21:00	16:00 - 22:00	11:30 - 22:00	11:30 - 22:00	11:30 - 00:00	16:00 - 00:00	n/a
Viet Fresh	313 Dalhousie St, Ottawa, ON K1N 7E8, Canada	(613) 422-8099	https://vietfresh.ca/	11:00 - 23:00	16:00 - 23:00	16:00 - 00:00	16:00 - 00:00	16:00 - 00:00	11:00 - 00:00	11:00 - 00:00
Zak's Diner Elgin St	220 Elgin St, Ottawa, ON K2P 1L7, Canada	(613) 421-0038	http://www.eatatzaks.com/	08:00 - 23:00	08:00 - 23:00	08:00 - 23:00	08:00 - 23:00	08:00 - 23:00	08:00 - 23:00	08:00 - 23:00
five nights at freddys	Ottawa, ON K1P 1B1, Canada	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
s o m e w h e r e dine bar	110 Murray St, Ottawa, ON K1N 5M6, Canada	(613) 562-7244	http://www.somewhereottawa.com/	16:00 - 02:00	16:00 - 02:00	16:00 - 02:00	16:00 - 02:00	16:00 - 02:00	16:00 - 02:00	16:00 - 02:00
